BJD - 2454833, Corrected Flux
2307.550568179, 0.995729028,
2307.571000278, 0.995620900,
2307.591432476, 0.995934828,
2307.611864474, 0.995639829,
2307.632296571, 0.995427414,
2307.652728768, 0.995432255,
2307.673160765, 0.995308815,
2307.693592860, 0.995673303,
2307.714025056, 0.995336802,
2307.734457051, 0.995064489,
2307.754889246, 0.995421121,
2307.775321340, 0.994934783,
2307.795753334, 0.994702242,
2307.816185528, 0.994607696,
2307.836617621, 0.994619064,
2307.857049613, 0.994371336,
2307.877481805, 0.994346735,
2307.897913897, 0.994411252,
2307.918345988, 0.994736114,
2307.938778079, 0.994436899,
2307.959210169, 0.994244649,
2307.979642259, 0.994056694,
2308.000074349, 0.994718987,
2308.020506438, 0.994490250,
2308.040938527, 0.994291247,
2308.061370715, 0.994468732,
2308.081802703, 0.994015695,
2308.102234890, 0.993779502,
2308.122666877, 0.993896589,
2308.143098963, 0.993826659,
2308.163531149, 0.993761762,
2308.183963135, 0.993681953,
2308.204395220, 0.993804542,
2308.224827405, 0.994091119,
2308.245259389, 0.993709356,
2308.265691473, 0.993483214,
2308.286123657, 0.993912761,
2308.306555639, 0.993861579,
2308.326987722, 0.993856775,
2308.347419904, 0.993703276,
2308.367851886, 0.993186081,
2308.388283967, 0.993380630,
2308.408716148, 0.993655354,
2308.429148229, 0.993040438,
2308.449580209, 0.992815945,
2308.470012388, 0.993038127,
2308.490444467, 0.993448794,
2308.531308625, 0.993726584,
2308.551740702, 0.993380072,
2308.572172780, 0.992801774,
2308.592604857, 0.993244504,
2308.613036933, 0.993097281,
2308.633469110, 0.992902457,
2308.653901085, 0.993162379,
2308.674333160, 0.993055216,
2308.694765335, 0.993099363,
2308.715197310, 0.992899054,
2308.735629384, 0.993211396,
2308.756061558, 0.993037451,
2308.776493531, 0.992940736,
2308.796925603, 0.993018281,
2308.817357776, 0.993150164,
2308.837789748, 0.992875302,
2308.858221819, 0.993523901,
2308.878653990, 0.992948062,
2308.899085961, 0.992998124,
2308.919518131, 0.993102045,
2308.939950101, 0.992394976,
2308.960382170, 0.992477180,
2308.980814339, 0.992777892,
2309.001246408, 0.992374690,
2309.021678376, 0.992796224,
2309.042110543, 0.992460342,
2309.062542611, 0.992505458,
2309.082974577, 0.992637421,
2309.103406744, 0.992351925,
2309.123838809, 0.992476763,
2309.144270775, 0.992290273,
2309.164702940, 0.992483331,
2309.185135005, 0.992769902,
2309.205566969, 0.992535839,
2309.225999133, 0.992780931,
2309.246431196, 0.992548555,
2309.266863260, 0.992352937,
2309.287295322, 0.992524416,
2309.307727384, 0.992143753,
2309.328159446, 0.992771298,
2309.348591507, 0.992619548,
2309.369023568, 0.992337895,
2309.389455728, 0.992518191,
2309.409887689, 0.992802366,
2309.430319749, 0.992883057,
2309.450751908, 0.992564483,
2309.471183966, 0.992469992,
2309.512048083, 0.992816409,
2309.532480140, 0.992394715,
2309.552912097, 0.992493097,
2309.573344254, 0.993056563,
2309.593776310, 0.992384936,
2309.614208266, 0.992697780,
2309.634640422, 0.992474355,
2309.655072377, 0.992400656,
2309.675504431, 0.992362912,
2309.695936585, 0.992228905,
2309.716368539, 0.992146320,
2309.736800593, 0.992113786,
2309.757232746, 0.992074045,
2309.777664698, 0.992475337,
2309.798096750, 0.992426179,
2309.818528902, 0.992328732,
2309.838960953, 0.992254646,
